strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
5.600000000000000000e+01,4.000000000000000000e+00,-9.134785715539068618e-04,0.000000000000000000e+00,7.489282223212416489e-02,1.193412535563288088e+02
5.700000000000000000e+01,4.000000000000000000e+00,-4.567392857769534309e-04,7.910956487784043863e-04,7.489033108272470651e-02,1.193416015296977974e+02
5.800000000000000000e+01,4.000000000000000000e+00,4.567392857769534309e-04,7.910956487784043863e-04,7.489016082932470342e-02,1.193418729811520365e+02
5.900000000000000000e+01,4.000000000000000000e+00,-4.567392857769534309e-04,-7.910956487784043863e-04,7.489003884496345242e-02,1.193414720877446342e+02
6.000000000000000000e+01,4.000000000000000000e+00,4.567392857769534309e-04,-7.910956487784043863e-04,7.489022995017700912e-02,1.193416993277427025e+02
6.100000000000000000e+01,4.000000000000000000e+00,-7.992937501096684634e-04,-5.933217365838033440e-04,1.220499800946179686e-01,6.005194603686839372e+01
6.200000000000000000e+01,4.000000000000000000e+00,-7.992937501096684634e-04,5.933217365838033440e-04,1.220496382501574106e-01,6.005217355390519884e+01
6.300000000000000000e+01,4.000000000000000000e+00,-1.141848214442383577e-04,9.888695609730055371e-04,1.220497083362340057e-01,6.005176966480839695e+01
6.400000000000000000e+01,4.000000000000000000e+00,-9.134785715539068618e-04,3.955478243892021932e-04,1.220509689592487040e-01,6.005250702398131324e+01
6.500000000000000000e+01,4.000000000000000000e+00,7.992937501096685719e-04,-5.933217365838033440e-04,1.220482547725444539e-01,6.005217838552507459e+01
6.600000000000000000e+01,4.000000000000000000e+00,9.134785715539068618e-04,3.955478243892021932e-04,1.220490763869764017e-01,6.005195520585343871e+01
6.700000000000000000e+01,4.000000000000000000e+00,-9.134785715539068618e-04,-3.955478243892021932e-04,1.220507556820689954e-01,6.005219424390745786e+01
6.800000000000000000e+01,4.000000000000000000e+00,1.141848214442383577e-04,-9.888695609730055371e-04,1.220491948809670213e-01,6.005181369094240296e+01
6.900000000000000000e+01,4.000000000000000000e+00,9.134785715539068618e-04,-3.955478243892021932e-04,1.220491913190455552e-01,6.005218251374773786e+01
7.000000000000000000e+01,4.000000000000000000e+00,7.992937501096685719e-04,5.933217365838033440e-04,1.220485998699231273e-01,6.005191490133773868e+01
7.100000000000000000e+01,4.000000000000000000e+00,1.141848214442383577e-04,9.888695609730055371e-04,1.220494927163062043e-01,6.005176432572761058e+01
7.200000000000000000e+01,4.000000000000000000e+00,-1.141848214442383577e-04,-9.888695609730055371e-04,1.220493793445829867e-01,6.005162331159854716e+01
7.300000000000000000e+01,5.000000000000000000e+00,1.027663392998145152e-03,-1.977739121946010966e-04,1.509515378582227674e-01,6.367175884412104381e+01
7.400000000000000000e+01,5.000000000000000000e+00,-6.851089286654301735e-04,-7.910956487784043863e-04,1.509501822586227227e-01,6.367199149228721211e+01
7.500000000000000000e+01,5.000000000000000000e+00,6.851089286654301735e-04,7.910956487784043863e-04,1.509494016655316684e-01,6.367224183625433653e+01
7.600000000000000000e+01,5.000000000000000000e+00,1.027663392998145152e-03,1.977739121946010966e-04,1.509510869572755765e-01,6.367190001651879783e+01
7.700000000000000000e+01,5.000000000000000000e+00,6.851089286654301735e-04,-7.910956487784043863e-04,1.509500171090095155e-01,6.367239496349716887e+01
7.800000000000000000e+01,5.000000000000000000e+00,-6.851089286654301735e-04,7.910956487784043863e-04,1.509502404413270160e-01,6.367220531686299978e+01
7.900000000000000000e+01,5.000000000000000000e+00,-1.027663392998145152e-03,1.977739121946010966e-04,1.509554025591705873e-01,6.367213297155077356e+01
8.000000000000000000e+01,5.000000000000000000e+00,-1.027663392998145152e-03,-1.977739121946010966e-04,1.509546364392229112e-01,6.367222142211738856e+01
8.100000000000000000e+01,5.000000000000000000e+00,3.425544643327150867e-04,9.888695609730055371e-04,1.509502539889696071e-01,6.367185009507952032e+01
8.200000000000000000e+01,5.000000000000000000e+00,-3.425544643327150867e-04,9.888695609730055371e-04,1.509507579714262360e-01,6.367163724486216125e+01
8.300000000000000000e+01,5.000000000000000000e+00,3.425544643327150867e-04,-9.888695609730055371e-04,1.509505583442079801e-01,6.367206700000826913e+01
8.400000000000000000e+01,5.000000000000000000e+00,-3.425544643327150867e-04,-9.888695609730055371e-04,1.509503140923028619e-01,6.367157967147911535e+01
8.500000000000000000e+01,5.000000000000000000e+00,5.709241072211917751e-04,-9.888695609730055371e-04,2.551214670259385198e-01,4.697660888232969256e+01
8.600000000000000000e+01,5.000000000000000000e+00,-5.709241072211917751e-04,-9.888695609730055371e-04,2.551199797792008672e-01,4.697668933083912890e+01
8.700000000000000000e+01,5.000000000000000000e+00,5.709241072211917751e-04,9.888695609730055371e-04,2.551207592263212143e-01,4.697695548874782645e+01
8.800000000000000000e+01,5.000000000000000000e+00,-1.141848214442383550e-03,0.000000000000000000e+00,2.551318481289294171e-01,4.697579490725299678e+01
8.900000000000000000e+01,5.000000000000000000e+00,-5.709241072211917751e-04,9.888695609730055371e-04,2.551211415478244482e-01,4.697657167536490874e+01
9.000000000000000000e+01,5.000000000000000000e+00,1.141848214442383550e-03,0.000000000000000000e+00,2.551241452928326714e-01,4.697602138217771994e+01
9.100000000000000000e+01,5.000000000000000000e+00,-1.027663392998145152e-03,-5.933217365838033440e-04,4.196716043824196274e-01,-1.289344974499329410e+01
9.200000000000000000e+01,5.000000000000000000e+00,1.027663392998145152e-03,-5.933217365838033440e-04,4.196661195120779397e-01,-1.289310415163711632e+01
9.300000000000000000e+01,5.000000000000000000e+00,-1.027663392998145152e-03,5.933217365838033440e-04,4.196707719430831651e-01,-1.289315823156959340e+01
9.400000000000000000e+01,5.000000000000000000e+00,1.027663392998145152e-03,5.933217365838033440e-04,4.196670194547683086e-01,-1.289347122234896226e+01
9.500000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,-1.186643473167606688e-03,4.196691284846534309e-01,-1.289378361303070619e+01
9.600000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,1.186643473167606688e-03,4.196698386528032176e-01,-1.289366232494010234e+01
9.700000000000000000e+01,5.000000000000000000e+00,2.283696428884767155e-04,-1.186643473167606688e-03,4.338542458186436246e-01,-1.176775594737823916e+01
9.800000000000000000e+01,5.000000000000000000e+00,-2.283696428884767155e-04,-1.186643473167606688e-03,4.338559948634817531e-01,-1.176819631238753061e+01
9.900000000000000000e+01,5.000000000000000000e+00,-9.134785715539068618e-04,7.910956487784043863e-04,4.338534624077920454e-01,-1.176779954403968453e+01
1.000000000000000000e+02,5.000000000000000000e+00,2.283696428884767155e-04,1.186643473167606688e-03,4.338558476989649026e-01,-1.176802049966678076e+01
1.010000000000000000e+02,5.000000000000000000e+00,1.141848214442383550e-03,-3.955478243892021932e-04,4.338550309525968651e-01,-1.176776290579226902e+01
1.020000000000000000e+02,5.000000000000000000e+00,9.134785715539068618e-04,7.910956487784043863e-04,4.338518568569548761e-01,-1.176774785862635042e+01
1.030000000000000000e+02,5.000000000000000000e+00,-2.283696428884767155e-04,1.186643473167606688e-03,4.338563921816810387e-01,-1.176795314607284659e+01
1.040000000000000000e+02,5.000000000000000000e+00,-9.134785715539068618e-04,-7.910956487784043863e-04,4.338559373472563596e-01,-1.176792570538948723e+01
1.050000000000000000e+02,5.000000000000000000e+00,-1.141848214442383550e-03,-3.955478243892021932e-04,4.338599973932410481e-01,-1.176744941400616717e+01
1.060000000000000000e+02,5.000000000000000000e+00,1.141848214442383550e-03,3.955478243892021932e-04,4.338535282085852485e-01,-1.176774995220930720e+01
1.070000000000000000e+02,5.000000000000000000e+00,-1.141848214442383550e-03,3.955478243892021932e-04,4.338602968859160969e-01,-1.176725585977058230e+01
1.080000000000000000e+02,5.000000000000000000e+00,9.134785715539068618e-04,-7.910956487784043863e-04,4.338511509574765057e-01,-1.176747446463762081e+01
1.090000000000000000e+02,6.000000000000000000e+00,-7.992937501096684634e-04,9.888695609730055371e-04,5.243788610530500938e-01,-9.718435695563250931e+00
1.100000000000000000e+02,6.000000000000000000e+00,4.567392857769534309e-04,1.186643473167606688e-03,5.243818807846520880e-01,-9.719003793752928999e+00
1.110000000000000000e+02,6.000000000000000000e+00,-4.567392857769534309e-04,-1.186643473167606688e-03,5.243810071862601285e-01,-9.719520982950914600e+00
1.120000000000000000e+02,6.000000000000000000e+00,-1.256033035886621949e-03,1.977739121946010966e-04,5.244011593606653365e-01,-9.718486364911843367e+00
1.130000000000000000e+02,6.000000000000000000e+00,4.567392857769534309e-04,-1.186643473167606688e-03,5.243831557856174497e-01,-9.718577119040871182e+00
1.140000000000000000e+02,6.000000000000000000e+00,1.256033035886621949e-03,-1.977739121946010966e-04,5.243881615319558875e-01,-9.718792809231091567e+00
1.150000000000000000e+02,6.000000000000000000e+00,-1.256033035886621949e-03,-1.977739121946010966e-04,5.243977744885875980e-01,-9.718086613362332926e+00
1.160000000000000000e+02,6.000000000000000000e+00,-7.992937501096684634e-04,-9.888695609730055371e-04,5.243783117129565685e-01,-9.718879463247724004e+00
1.170000000000000000e+02,6.000000000000000000e+00,1.256033035886621949e-03,1.977739121946010966e-04,5.243848020753851813e-01,-9.718636323779543673e+00
1.180000000000000000e+02,6.000000000000000000e+00,-4.567392857769534309e-04,1.186643473167606688e-03,5.243843607724754108e-01,-9.719360415537805054e+00
1.190000000000000000e+02,6.000000000000000000e+00,7.992937501096685719e-04,9.888695609730055371e-04,5.243776456010195153e-01,-9.718150314048070726e+00
1.200000000000000000e+02,6.000000000000000000e+00,7.992937501096685719e-04,-9.888695609730055371e-04,5.243807962068054440e-01,-9.718054336332453857e+00
1.210000000000000000e+02,6.000000000000000000e+00,6.851089286654301735e-04,-1.186643473167606688e-03,8.466581243793880329e-01,-2.385868232062493277e+01
1.220000000000000000e+02,6.000000000000000000e+00,-6.851089286654301735e-04,-1.186643473167606688e-03,8.466404980809989489e-01,-2.385798931431669700e+01
1.230000000000000000e+02,6.000000000000000000e+00,1.370217857330860347e-03,0.000000000000000000e+00,8.466650916406334160e-01,-2.386018246871084614e+01
1.240000000000000000e+02,6.000000000000000000e+00,-1.370217857330860347e-03,0.000000000000000000e+00,8.467012705374112880e-01,-2.386073349847164593e+01
1.250000000000000000e+02,6.000000000000000000e+00,-6.851089286654301735e-04,1.186643473167606688e-03,8.466458425119494091e-01,-2.385874184384939412e+01
1.260000000000000000e+02,6.000000000000000000e+00,6.851089286654301735e-04,1.186643473167606688e-03,8.466499826912776694e-01,-2.385803914536312220e+01
