r_m,J_amplitude_A_per_m2,J_phase_deg
1.783097215437225061e-04,3.151713169328121585e+05,7.772105022040652500e+01
1.787982413287738097e-04,3.155415972397632431e+05,7.791746673087013164e+01
1.792867611138251134e-04,3.159145752012137673e+05,7.811413565844247842e+01
1.797752808988763900e-04,3.162902601141874329e+05,7.831105437125142998e+01
1.802638006839276936e-04,3.166686612421692116e+05,7.850822023853558562e+01
1.807523204689789973e-04,3.170497878149061580e+05,7.870563063085558042e+01
1.812408402540302739e-04,3.174336490282132290e+05,7.890328292030507384e+01
1.817293600390815775e-04,3.178202540437870193e+05,7.910117448072169566e+01
1.822178798241328812e-04,3.182096119890245609e+05,7.929930268789740921e+01
1.827063996091841578e-04,3.186017319568496314e+05,7.949766491978883209e+01
1.831949193942354615e-04,3.189966230055453489e+05,7.969625855672697412e+01
1.836834391792867651e-04,3.193942941585932276e+05,7.989508098162653482e+01
1.841719589643380417e-04,3.197947544045182876e+05,8.009412958019480300e+01
1.846604787493893454e-04,3.201980126967425458e+05,8.029340174113995943e+01
1.851489985344406490e-04,3.206040779534424655e+05,8.049289485637876851e+01
1.856375183194919256e-04,3.210129590574157774e+05,8.069260632124374411e+01
1.861260381045432293e-04,3.214246648559535970e+05,8.089253353468946273e+01
1.866145578895945329e-04,3.218392041607185965e+05,8.109267389949827987e+01
1.871030776746458095e-04,3.222565857476315578e+05,8.129302482248529316e+01
1.875915974596971132e-04,3.226768183567639207e+05,8.149358371470236762e+01
