strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
1.430000000000000000e+02,7.000000000000000000e+00,-7.697044654213176578e-04,7.141813746594652748e-04,2.619174140362747968e-02,1.173386431342524219e+02
1.440000000000000000e+02,7.000000000000000000e+00,-8.675507130317947676e-04,5.914860609668029035e-04,2.621509893814325670e-02,1.173278977360644859e+02
1.450000000000000000e+02,7.000000000000000000e+00,-9.460173112975398891e-04,4.555779260734361220e-04,2.621516008451327956e-02,1.173278734975097279e+02
1.460000000000000000e+02,7.000000000000000000e+00,-1.003351446075447613e-03,3.094929331314497925e-04,2.619189893890324500e-02,1.173385915820756793e+02
1.470000000000000000e+02,7.000000000000000000e+00,-1.038272367536384813e-03,1.564943794849834452e-04,2.616266102985050773e-02,1.173521582975795781e+02
1.480000000000000000e+02,7.000000000000000000e+00,-1.049999999999999935e-03,1.285879139104720717e-19,2.614954380594272654e-02,1.173583039553469405e+02
1.490000000000000000e+02,7.000000000000000000e+00,-1.038272367536385030e-03,-1.564943794849827134e-04,2.616255975646326198e-02,1.173523166674395526e+02
1.500000000000000000e+02,7.000000000000000000e+00,-1.003351446075447830e-03,-3.094929331314490877e-04,2.619173865231939208e-02,1.173388307597413416e+02
1.510000000000000000e+02,7.000000000000000000e+00,-9.460173112975399975e-04,-4.555779260734359052e-04,2.621501090198757530e-02,1.173281001756749049e+02
1.520000000000000000e+02,7.000000000000000000e+00,-8.675507130317945508e-04,-5.914860609668031203e-04,2.621503119557799799e-02,1.173280461946639264e+02
1.530000000000000000e+02,7.000000000000000000e+00,-7.697044654213174410e-04,-7.141813746594653832e-04,2.619180007432543936e-02,1.173386795277639152e+02
1.540000000000000000e+02,7.000000000000000000e+00,-6.546642919516702016e-04,-8.209230565914310725e-04,2.616267070844377138e-02,1.173521191975134172e+02
1.550000000000000000e+02,7.000000000000000000e+00,-5.250000000000004012e-04,-9.093266739736602074e-04,2.614972345174889148e-02,1.173581388319932728e+02
1.560000000000000000e+02,7.000000000000000000e+00,-3.836080755847146116e-04,-9.774174360764143008e-04,2.616292499584465386e-02,1.173520642954111111e+02
1.570000000000000000e+02,7.000000000000000000e+00,-2.336469806541303072e-04,-1.023674307790914742e-03,2.619224367702315329e-02,1.173385584134217794e+02
1.580000000000000000e+02,7.000000000000000000e+00,-7.846659826574596173e-05,-1.047063987040239025e-03,2.621556192051919740e-02,1.173279017514840064e+02
1.590000000000000000e+02,7.000000000000000000e+00,7.846659826574558226e-05,-1.047063987040239025e-03,2.621552036880652262e-02,1.173279940009250737e+02
1.600000000000000000e+02,7.000000000000000000e+00,2.336469806541299277e-04,-1.023674307790914742e-03,2.619213758644989287e-02,1.173387544268026375e+02
1.610000000000000000e+02,7.000000000000000000e+00,3.836080755847150994e-04,-9.774174360764143008e-04,2.616280592151499704e-02,1.173522229946537010e+02
1.620000000000000000e+02,7.000000000000000000e+00,5.249999999999993170e-04,-9.093266739736609663e-04,2.614964245138430912e-02,1.173581878422209854e+02
1.630000000000000000e+02,7.000000000000000000e+00,6.546642919516699848e-04,-8.209230565914313977e-04,2.616264157816877017e-02,1.173520615340019049e+02
1.640000000000000000e+02,7.000000000000000000e+00,7.697044654213178747e-04,-7.141813746594650580e-04,2.619180512107388906e-02,1.173385790171189171e+02
1.650000000000000000e+02,7.000000000000000000e+00,8.675507130317941171e-04,-5.914860609668038793e-04,2.621504502349817842e-02,1.173279777789855700e+02
1.660000000000000000e+02,7.000000000000000000e+00,9.460173112975398891e-04,-4.555779260734362304e-04,2.621501156337070759e-02,1.173280755949944876e+02
1.670000000000000000e+02,7.000000000000000000e+00,1.003351446075447613e-03,-3.094929331314499009e-04,2.619171038818804073e-02,1.173388042593921483e+02
1.680000000000000000e+02,7.000000000000000000e+00,1.038272367536384813e-03,-1.564943794849840415e-04,2.616249299626557598e-02,1.173522769877542515e+02
1.690000000000000000e+02,8.000000000000000000e+00,1.199999999999999895e-03,0.000000000000000000e+00,5.568729364708179669e-02,7.057101599124997904e+01
1.700000000000000000e+02,8.000000000000000000e+00,1.189733833648572376e-03,1.566314306640618787e-04,5.570233801082152131e-02,7.056703240526380227e+01
1.710000000000000000e+02,8.000000000000000000e+00,1.159110991546881799e-03,3.105828541230248592e-04,5.573846119591219922e-02,7.055748916163186379e+01
1.720000000000000000e+02,8.000000000000000000e+00,1.108655439013543891e-03,4.592201188381076870e-04,5.577435076325181623e-02,7.054804589927081793e+01
1.730000000000000000e+02,8.000000000000000000e+00,1.039230484541326261e-03,5.999999999999998390e-04,5.578914134093316407e-02,7.054415825481481761e+01
1.740000000000000000e+02,8.000000000000000000e+00,9.520240083494821209e-04,7.305137148104647428e-04,5.577432409431623550e-02,7.054802579895704184e+01
1.750000000000000000e+02,8.000000000000000000e+00,8.485281374238569938e-04,8.485281374238568854e-04,5.573842763628757135e-02,7.055746326813529379e+01
1.760000000000000000e+02,8.000000000000000000e+00,7.305137148104647428e-04,9.520240083494821209e-04,5.570233949041043103e-02,7.056701515342004427e+01
1.770000000000000000e+02,8.000000000000000000e+00,6.000000000000000559e-04,1.039230484541326261e-03,5.568738901678647185e-02,7.057100375331224029e+01
