r_m,J_amplitude
6.340852130325814280e-04,1.359933056922109826e-05
6.365914786967417959e-04,1.359933056922109826e-05
6.390977443609022722e-04,1.359933056922109826e-05
6.416040100250626401e-04,1.359933056922109826e-05
6.441102756892230080e-04,1.359933056922109826e-05
6.466165413533834843e-04,1.359933056922109826e-05
6.491228070175438522e-04,1.359933056922109826e-05
6.516290726817042201e-04,1.359933056922109826e-05
6.541353383458646965e-04,1.359933056922109826e-05
6.566416040100250644e-04,1.359933056922109826e-05
6.591478696741854323e-04,1.359933056922109826e-05
6.616541353383458002e-04,1.359933056922109826e-05
6.641604010025062765e-04,1.359933056922109826e-05
6.666666666666666444e-04,1.359933056922109826e-05
6.691729323308270123e-04,1.359933056922109826e-05
6.716791979949874886e-04,1.359933056922109826e-05
6.741854636591478565e-04,1.359933056922109826e-05
6.766917293233082244e-04,1.359933056922109826e-05
6.791979949874687008e-04,1.359933056922109826e-05
6.817042606516290687e-04,1.359933056922109826e-05
6.842105263157894366e-04,1.359933056922109826e-05
6.867167919799498045e-04,1.359933056922109826e-05
6.892230576441102808e-04,1.359933056922109826e-05
6.917293233082706487e-04,1.359933056922109826e-05
6.942355889724310166e-04,1.359933056922109826e-05
6.967418546365914929e-04,1.359933056922109826e-05
6.992481203007518608e-04,1.359933056922109826e-05
7.017543859649122287e-04,1.359933056922109826e-05
7.042606516290727051e-04,1.359933056922109826e-05
7.067669172932330730e-04,1.359933056922109826e-05
7.092731829573934409e-04,1.359933056922109826e-05
7.117794486215539172e-04,1.359933056922109826e-05
7.142857142857142851e-04,1.359933056922109826e-05
7.167919799498746530e-04,1.359933056922109826e-05
7.192982456140350209e-04,1.359933056922109826e-05
7.218045112781954972e-04,1.359933056922109826e-05
7.243107769423558651e-04,1.359933056922109826e-05
7.268170426065162330e-04,1.359933056922109826e-05
7.293233082706767094e-04,1.359933056922109826e-05
7.318295739348370773e-04,1.359933056922109826e-05
7.343358395989974452e-04,1.359933056922109826e-05
7.368421052631579215e-04,1.359933056922109826e-05
7.393483709273182894e-04,1.359933056922109826e-05
7.418546365914786573e-04,1.359933056922109826e-05
7.443609022556390252e-04,1.359933056922109826e-05
7.468671679197995015e-04,1.359933056922109826e-05
7.493734335839598694e-04,1.359933056922109826e-05
7.518796992481202373e-04,1.359933056922109826e-05
7.543859649122807137e-04,1.359933056922109826e-05
7.568922305764410816e-04,1.359933056922109826e-05
7.593984962406014495e-04,1.359933056922109826e-05
7.619047619047619258e-04,1.359933056922109826e-05
7.644110275689222937e-04,1.359933056922109826e-05
7.669172932330826616e-04,1.359933056922109826e-05
7.694235588972431379e-04,1.359933056922109826e-05
7.719298245614035058e-04,1.359933056922109826e-05
7.744360902255638737e-04,1.359933056922109826e-05
7.769423558897242416e-04,1.359933056922109826e-05
7.794486215538847180e-04,1.359933056922109826e-05
7.819548872180450859e-04,1.359933056922109826e-05
7.844611528822054538e-04,1.359933056922109826e-05
7.869674185463659301e-04,1.359933056922109826e-05
7.894736842105262980e-04,1.359933056922109826e-05
7.919799498746866659e-04,1.359933056922109826e-05
7.944862155388471422e-04,1.359933056922109826e-05
7.969924812030075101e-04,1.359933056922109826e-05
7.994987468671678780e-04,1.359933056922109826e-05
8.020050125313283543e-04,1.359933056922109826e-05
8.045112781954887222e-04,1.359933056922109826e-05
8.070175438596490902e-04,1.359933056922109826e-05
8.095238095238094581e-04,1.359933056922109826e-05
8.120300751879699344e-04,1.359933056922109826e-05
8.145363408521303023e-04,1.359933056922109826e-05
8.170426065162906702e-04,1.359933056922109826e-05
8.195488721804511465e-04,1.359933056922109826e-05
8.220551378446115144e-04,1.359933056922109826e-05
8.245614035087718823e-04,1.359933056922109826e-05
8.270676691729323586e-04,1.359933056922109826e-05
8.295739348370927265e-04,1.359933056922109826e-05
8.320802005012530944e-04,1.359933056922109826e-05
8.345864661654134624e-04,1.359933056922109826e-05
8.370927318295739387e-04,1.359933056922109826e-05
8.395989974937343066e-04,1.359933056922109826e-05
8.421052631578946745e-04,1.359933056922109826e-05
8.446115288220551508e-04,1.359933056922109826e-05
8.471177944862155187e-04,1.359933056922109826e-05
8.496240601503758866e-04,1.359933056922109826e-05
8.521303258145363629e-04,1.359933056922109826e-05
8.546365914786967308e-04,1.359933056922109826e-05
8.571428571428570987e-04,1.359933056922109826e-05
8.596491228070175751e-04,1.359933056922109826e-05
8.621553884711779430e-04,1.359933056922109826e-05
8.646616541353383109e-04,1.359933056922109826e-05
8.671679197994986788e-04,1.359933056922109826e-05
8.696741854636591551e-04,1.359933056922109826e-05
8.721804511278195230e-04,1.359933056922109826e-05
8.746867167919798909e-04,1.359933056922109826e-05
8.771929824561403672e-04,1.359933056922109826e-05
8.796992481203007351e-04,1.359933056922109826e-05
8.822055137844611030e-04,1.359933056922109826e-05
8.847117794486215794e-04,1.359933056922109826e-05
8.872180451127819473e-04,1.359933056922109826e-05
8.897243107769423152e-04,1.359933056922109826e-05
8.922305764411026831e-04,1.359933056922109826e-05
8.947368421052631594e-04,1.359933056922109826e-05
8.972431077694235273e-04,1.359933056922109826e-05
8.997493734335838952e-04,1.359933056922109826e-05
9.022556390977443715e-04,1.359933056922109826e-05
9.047619047619047394e-04,1.359933056922109826e-05
9.072681704260651073e-04,1.359933056922109826e-05
9.097744360902255837e-04,1.359933056922109826e-05
9.122807017543859516e-04,1.359933056922109826e-05
9.147869674185463195e-04,1.359933056922109826e-05
9.172932330827067958e-04,1.359933056922109826e-05
9.197994987468671637e-04,1.359933056922109826e-05
9.223057644110275316e-04,1.359933056922109826e-05
9.248120300751878995e-04,1.359933056922109826e-05
9.273182957393483758e-04,1.359933056922109826e-05
9.298245614035087437e-04,1.359933056922109826e-05
9.323308270676691116e-04,1.359933056922109826e-05
9.348370927318295880e-04,1.359933056922109826e-05
