r_m,FD_J,exact_J
1.636541279921836670e-04,3.052698970677423058e+05,3.048024471846874803e+05
1.641426477772349706e-04,3.055637273199174087e+05,3.050958258998860256e+05
1.646311675622862743e-04,3.058599619610131485e+05,3.053916053205518983e+05
1.651196873473375509e-04,3.061586111714448780e+05,3.056897956115312991e+05
1.656082071323888546e-04,3.064596851068193791e+05,3.059904069128992851e+05
1.660967269174401582e-04,3.067631938975664671e+05,3.062934493395932368e+05
1.665852467024914348e-04,3.070691476485772291e+05,3.065989329810496420e+05
1.670737664875427385e-04,3.073775564388445346e+05,3.069068679008471081e+05
1.675622862725940421e-04,3.076884303211104707e+05,3.072172641363529256e+05
1.680508060576453187e-04,3.080017793215172132e+05,3.075301316983754514e+05
1.685393258426966224e-04,3.083176134392637759e+05,3.078454805708203348e+05
1.690278456277479260e-04,3.086359426462671836e+05,3.081633207103530876e+05
1.695163654127992026e-04,3.089567768868284184e+05,3.084836620460656122e+05
1.700048851978505063e-04,3.092801260773051181e+05,3.088065144791483181e+05
1.704934049829018099e-04,3.096060001057874179e+05,3.091318878825675929e+05
1.709819247679530865e-04,3.099344088317808346e+05,3.094597921007487457e+05
1.714704445530043902e-04,3.102653620858927607e+05,3.097902369492627913e+05
1.719589643380556939e-04,3.105988696695264080e+05,3.101232322145213257e+05
1.724474841231069704e-04,3.109349413545788266e+05,3.104587876534742536e+05
1.729360039081582741e-04,3.112735868831445114e+05,3.107969129933148506e+05
1.734245236932095778e-04,3.116148159672252950e+05,3.111376179311893648e+05
1.739130434782608543e-04,3.119586382884460036e+05,3.114809121339129051e+05
1.744015632633121580e-04,3.123050634977743030e+05,3.118268052376906853e+05
1.748900830483634617e-04,3.126541012152483454e+05,3.121753068478452042e+05
1.753786028334147382e-04,3.130057610297093051e+05,3.125264265385495382e+05
1.758671226184660419e-04,3.133600524985395023e+05,3.128801738525658147e+05
1.763556424035173456e-04,3.137169851474072202e+05,3.132365583009902039e+05
1.768441621885686221e-04,3.140765684700166457e+05,3.135955893630038481e+05
1.773326819736199258e-04,3.144388119278649101e+05,3.139572764856297290e+05
1.778212017586712295e-04,3.148037249500046019e+05,3.143216290834955289e+05
1.783097215437225061e-04,3.151713169328121585e+05,3.146886565386025468e+05
1.787982413287738097e-04,3.155415972397632431e+05,3.150583682001016568e+05
1.792867611138251134e-04,3.159145752012137673e+05,3.154307733840741566e+05
1.797752808988763900e-04,3.162902601141874329e+05,3.158058813733197167e+05
1.802638006839276936e-04,3.166686612421692116e+05,3.161837014171510236e+05
1.807523204689789973e-04,3.170497878149061580e+05,3.165642427311932552e+05
1.812408402540302739e-04,3.174336490282132290e+05,3.169475144971918198e+05
1.817293600390815775e-04,3.178202540437870193e+05,3.173335258628253941e+05
1.822178798241328812e-04,3.182096119890245609e+05,3.177222859415255371e+05
1.827063996091841578e-04,3.186017319568496314e+05,3.181138038123027072e+05
1.831949193942354615e-04,3.189966230055453489e+05,3.185080885195797309e+05
1.836834391792867651e-04,3.193942941585932276e+05,3.189051490730303340e+05
1.841719589643380417e-04,3.197947544045182876e+05,3.193049944474258809e+05
1.846604787493893454e-04,3.201980126967425458e+05,3.197076335824870039e+05
1.851489985344406490e-04,3.206040779534424655e+05,3.201130753827433800e+05
1.856375183194919256e-04,3.210129590574157774e+05,3.205213287173993303e+05
1.861260381045432293e-04,3.214246648559535970e+05,3.209324024202065193e+05
1.866145578895945329e-04,3.218392041607185965e+05,3.213463052893425920e+05
1.871030776746458095e-04,3.222565857476315578e+05,3.217630460872977274e+05
1.875915974596971132e-04,3.226768183567639207e+05,3.221826335407669540e+05
1.880801172447484168e-04,3.230999106922362116e+05,3.226050763405496255e+05
1.885686370297996934e-04,3.235258714221250266e+05,3.230303831414555316e+05
